Script started on Tue Mar  3 22:47:14 2015
[?1034hbash-3.2$ java Pizzeria.class [K[K[K[K[K[K[K
Wartezeit für Erzeuger? (0 für jedes Mal eine neue zufällige Wartezeit) 0
Wie viele Verbraucher? 1
Wartezeit für Verbraucher 1? (0 für jedes Mal eine neue zufällige Wartezeit) 0
Pizzeria JAV02 hat geöffnet.
V1(  2sek):    5 |*****          |
V1(  2sek):    5 |*****          |
E (  3sek):    4 |****           |
E (  2sek):    5 |*****          |
V1(  5sek):    6 |******         |
V1(  6sek):    5 |*****          |
V1(  1sek):    4 |****           |
E ( 10sek):    4 |****           |
V1(  1sek):    4 |****           |
E (  9sek):    3 |***            |
V1( 11sek):    4 |****           |
E (  7sek):    3 |***            |
V1(  7sek):    4 |****           |
E (  7sek):    3 |***            |
V1(  9sek):    4 |****           |
E ( 13sek):    3 |***            |
V1( 12sek):    4 |****           |
E (  7sek):    3 |***            |
E (  4sek):    4 |****           |
V1( 10sek):    5 |*****          |
V1( 12sek):    4 |****           |
V1(  1sek):    3 |***            |
E ( 14sek):    2 |**             |
V1(  3sek):    3 |***            |
E (  7sek):    2 |**             |
E (  3sek):    3 |***            |
V1( 12sek):    4 |****           |
E ( 11sek):    3 |***            |
V1( 14sek):    4 |****           |
E ( 10sek):    3 |***            |
V1( 13sek):    4 |****           |
V1(  4sek):    3 |***            |
E ( 14sek):    2 |**             |
E (  6sek):    3 |***            |
V1( 12sek):    4 |****           |
E ( 11sek):    3 |***            |
V1(  9sek):    4 |****           |
E (  5sek):    3 |***            |
V1(  7sek):    4 |****           |
E (  6sek):    3 |***            |
V1(  1sek):    3 |***            |
V1( 13sek):    3 |***            |
E ( 14sek):    2 |**             |
V1(  8sek):    3 |***            |
E ( 12sek):    2 |**             |
V1(  7sek):    3 |***            |
E (  4sek):    2 |**             |
E (  2sek):    3 |***            |
E (  5sek):    4 |****           |
V1( 13sek):    5 |*****          |
E (  6sek):    4 |****           |
E (  8sek):    5 |*****          |
V1( 13sek):    6 |******         |
V1(  3sek):    5 |*****          |
V1(  6sek):    4 |****           |
E ( 14sek):    3 |***            |
V1(  7sek):    4 |****           |
E ( 13sek):    3 |***            |
V1( 10sek):    4 |****           |
V1(  5sek):    3 |***            |
E ( 14sek):    2 |**             |
V1( 12sek):    3 |***            |
E ( 13sek):    2 |**             |
V1(  5sek):    2 |**             |
V1(  4sek):    2 |**             |
V1(  4sek):    1 |*              |
V1(  4sek):    0 |               |
E ( 11sek):    0 |               |
E (  1sek):    0 |               |
E (  4sek):    1 |*              |
V1(  6sek):    2 |**             |
V1(  6sek):    1 |*              |
E ( 12sek):    0 |               |
V1(  8sek):    1 |*              |
E (  6sek):    0 |               |
E (  7sek):    1 |*              |
V1( 14sek):    2 |**             |
V1(  3sek):    1 |*              |
V1(  6sek):    0 |               |
E ( 12sek):    0 |               |
V1(  7sek):    0 |               |
E ( 10sek):    0 |               |
V1(  8sek):    0 |               |
E ( 13sek):    0 |               |
E (  2sek):    0 |               |
E (  6sek):    1 |*              |
V1( 10sek):    2 |**             |
E (  8sek):    1 |*              |
V1( 11sek):    2 |**             |
V1(  4sek):    1 |*              |
E ( 10sek):    0 |               |
V1( 11sek):    1 |*              |
E ( 13sek):    0 |               |
E (  4sek):    1 |*              |
V1( 10sek):    2 |**             |
E (  6sek):    1 |*              |
V1(  7sek):    2 |**             |
E ( 12sek):    1 |*              |
V1( 12sek):    2 |**             |
E ( 11sek):    1 |*              |
V1(  8sek):    2 |**             |
E (  4sek):    1 |*              |
V1(  5sek):    2 |**             |
V1(  5sek):    1 |*              |
V1(  3sek):    0 |               |
E ( 11sek):    0 |               |
V1(  4sek):    0 |               |
E ( 12sek):    0 |               |
V1(  4sek):    0 |               |
E (  7sek):    0 |               |
V1(  6sek):    0 |               |
E (  5sek):    0 |               |
V1(  8sek):    0 |               |
E ( 13sek):    0 |               |
V1(  1sek):    0 |               |
E (  4sek):    0 |               |
V1(  4sek):    0 |               |
E (  5sek):    0 |               |
V1(  4sek):    0 |               |
E (  6sek):    0 |               |
E (  6sek):    0 |               |
V1(  9sek):    1 |*              |
V1(  5sek):    0 |               |
E ( 10sek):    0 |               |
V1(  2sek):    0 |               |
E (  7sek):    0 |               |
V1(  7sek):    0 |               |
E ( 14sek):    0 |               |
V1(  1sek):    0 |               |
E (  3sek):    0 |               |
E (  4sek):    0 |               |
E (  5sek):    1 |*              |
V1( 12sek):    2 |**             |
V1(  4sek):    1 |*              |
E (  5sek):    1 |*              |
V1(  3sek):    1 |*              |
V1(  4sek):    0 |               |
E (  9sek):    0 |               |
E (  9sek):    0 |               |
V1( 13sek):    1 |*              |
E ( 11sek):    0 |               |
E (  5sek):    1 |*              |
V1( 12sek):    2 |**             |
V1(  2sek):    1 |*              |
V1(  9sek):    0 |               |
E ( 14sek):    0 |               |
V1(  5sek):    0 |               |
E ( 12sek):    0 |               |
V1( 10sek):    0 |               |
E ( 10sek):    0 |               |
E ( 12sek):    0 |               |
V1( 13sek):    1 |*              |
V1(  1sek):    0 |               |
E (  9sek):    0 |               |
E (  7sek):    0 |               |
V1(  7sek):    0 |               |
V1(  1sek):    0 |               |
E ( 11sek):    0 |               |
V1( 11sek):    0 |               |
E ( 13sek):    0 |               |
V1(  8sek):    0 |               |
E ( 14sek):    0 |               |
E (  3sek):    0 |               |
V1(  6sek):    1 |*              |
V1(  3sek):    0 |               |
E (  6sek):    0 |               |
V1(  1sek):    0 |               |
E (  5sek):    0 |               |
E (  9sek):    0 |               |
V1( 14sek):    1 |*              |
E (  8sek):    0 |               |
V1(  7sek):    1 |*              |
V1(  1sek):    0 |               |
E ( 14sek):    0 |               |
V1(  6sek):    0 |               |
E (  6sek):    0 |               |
E (  7sek):    0 |               |
E (  1sek):    1 |*              |
V1(  9sek):    2 |**             |
E (  2sek):    1 |*              |
V1(  9sek):    2 |**             |
E ( 12sek):    1 |*              |
E (  3sek):    2 |**             |
V1( 12sek):    3 |***            |
E (  8sek):    2 |**             |
E (  5sek):    3 |***            |
V1( 11sek):    4 |****           |
V1(  2sek):    3 |***            |
V1(  2sek):    2 |**             |
E ( 11sek):    1 |*              |
V1(  9sek):    2 |**             |
E (  6sek):    1 |*              |
V1(  4sek):    2 |**             |
V1(  2sek):    1 |*              |
E ( 13sek):    0 |               |
V1( 12sek):    1 |*              |
V1(  2sek):    0 |               |
E (  6sek):    0 |               |
V1(  1sek):    0 |               |
E (  7sek):    0 |               |
E (  9sek):    0 |               |
V1( 13sek):    1 |*              |
V1(  1sek):    0 |               |
E ( 11sek):    0 |               |
V1(  7sek):    0 |               |
E ( 11sek):    0 |               |
V1(  4sek):    0 |               |
E ( 12sek):    0 |               |
E (  6sek):    0 |               |
E (  2sek):    1 |*              |
V1( 11sek):    2 |**             |
E ( 10sek):    1 |*              |
V1( 10sek):    2 |**             |
V1(  2sek):    1 |*              |
E ( 13sek):    0 |               |
E (  3sek):    1 |*              |
V1( 12sek):    2 |**             |
E (  7sek):    1 |*              |
V1(  9sek):    2 |**             |
E (  8sek):    1 |*              |
V1(  7sek):    2 |**             |
V1( 11sek):    1 |*              |
E ( 13sek):    1 |*              |
V1(  2sek):    1 |*              |
V1(  6sek):    0 |               |
E ( 11sek):    0 |               |
V1(  1sek):    0 |               |
E ( 10sek):    0 |               |
E (  7sek):    0 |               |
V1(  7sek):    0 |               |
V1( 10sek):    0 |               |
E ( 12sek):    0 |               |
V1(  9sek):    0 |               |
E ( 14sek):    0 |               |
V1( 10sek):    0 |               |
E ( 12sek):    0 |               |
E (  2sek):    0 |               |
V1( 12sek):    1 |*              |
E ( 11sek):    0 |               |
V1(  4sek):    1 |*              |
E (  7sek):    0 |               |
E ( 10sek):    1 |*              |
V1( 13sek):    1 |*              |
E (  6sek):    1 |*              |
E (  5sek):    2 |**             |
V1( 13sek):    3 |***            |
E (  4sek):    2 |**             |
E (  7sek):    3 |***            |
E (  4sek):    4 |****           |
V1( 13sek):    4 |****           |
E (  1sek):    4 |****           |
E (  2sek):    5 |*****          |
V1(  9sek):    6 |******         |
E (  7sek):    5 |*****          |
V1( 11sek):    6 |******         |
E ( 13sek):    5 |*****          |
E (  2sek):    6 |******         |
V1(  8sek):    7 |*******        |
E ( 11sek):    6 |******         |
V1( 12sek):    7 |*******        |
E (  5sek):    6 |******         |
V1(  4sek):    7 |*******        |
E (  3sek):    6 |******         |
E (  1sek):    7 |*******        |
E (  1sek):    8 |********       |
V1(  8sek):    9 |*********      |
E ( 13sek):    8 |********       |
V1( 10sek):    9 |*********      |
E (  4sek):    8 |********       |
E (  3sek):    9 |*********      |
V1(  7sek):   10 |**********     |
V1( 10sek):    9 |*********      |
E ( 11sek):    9 |*********      |
E (  8sek):    9 |*********      |
V1( 12sek):   10 |**********     |
V1(  2sek):    9 |*********      |
E ( 11sek):    8 |********       |
V1(  9sek):    9 |*********      |
E (  7sek):    8 |********       |
V1(  7sek):    9 |*********      |
E (  5sek):    8 |********       |
V1(  5sek):    9 |*********      |
E (  7sek):    8 |********       |
E (  2sek):    9 |*********      |
V1( 12sek):   10 |**********     |
E ( 12sek):    9 |*********      |
V1(  7sek):   10 |**********     |
V1(  4sek):    9 |*********      |
E (  8sek):    8 |********       |
V1(  8sek):    9 |*********      |
E (  9sek):    8 |********       |
E (  4sek):    9 |*********      |
V1( 13sek):   10 |**********     |
V1(  2sek):    9 |*********      |
V1(  5sek):    8 |********       |
E ( 13sek):    7 |*******        |
E (  2sek):    8 |********       |
V1(  9sek):    9 |*********      |
E (  6sek):    8 |********       |
V1(  3sek):    9 |*********      |
V1(  1sek):    8 |********       |
E ( 14sek):    7 |*******        |
V1( 14sek):    8 |********       |
V1(  7sek):    7 |*******        |
V1(  1sek):    6 |******         |
E ( 13sek):    5 |*****          |
V1( 14sek):    6 |******         |
E ( 13sek):    5 |*****          |
V1( 13sek):    6 |******         |
E ( 11sek):    6 |******         |
V1(  7sek):    6 |******         |
E (  8sek):    5 |*****          |
V1(  6sek):    6 |******         |
E (  7sek):    5 |*****          |
E (  2sek):    6 |******         |
V1(  4sek):    7 |*******        |
V1(  4sek):    6 |******         |
V1(  2sek):    5 |*****          |
E ( 14sek):    4 |****           |
V1( 14sek):    5 |*****          |
E (  7sek):    4 |****           |
V1( 11sek):    5 |*****          |
V1(  3sek):    4 |****           |
E ( 12sek):    3 |***            |
E (  2sek):    4 |****           |
E (  3sek):    5 |*****          |
V1( 13sek):    6 |******         |
V1(  1sek):    5 |*****          |
E ( 11sek):    4 |****           |
V1(  6sek):    5 |*****          |
E ( 13sek):    4 |****           |
V1( 11sek):    4 |****           |
V1(  1sek):    4 |****           |
E ( 10sek):    3 |***            |
V1( 12sek):    4 |****           |
V1( 11sek):    3 |***            |
E ( 14sek):    2 |**             |
E (  6sek):    3 |***            |
E (  1sek):    4 |****           |
E (  2sek):    5 |*****          |
V1( 12sek):    6 |******         |
E (  3sek):    5 |*****          |
E (  9sek):    6 |******         |
V1( 12sek):    7 |*******        |
V1(  5sek):    6 |******         |
E (  6sek):    6 |******         |
E (  3sek):    6 |******         |
V1(  4sek):    7 |*******        |
V1( 10sek):    6 |******         |
V1(  1sek):    5 |*****          |
V1(  1sek):    4 |****           |
E ( 14sek):    3 |***            |
E (  2sek):    4 |****           |
V1(  7sek):    5 |*****          |
E (  5sek):    4 |****           |
V1(  6sek):    5 |*****          |
V1(  1sek):    4 |****           |
E (  8sek):    3 |***            |
E (  6sek):    4 |****           |
V1( 12sek):    5 |*****          |
E (  9sek):    4 |****           |
V1(  8sek):    5 |*****          |
E (  4sek):    4 |****           |
E (  6sek):    5 |*****          |
V1(  8sek):    5 |*****          |
V1(  3sek):    5 |*****          |
V1(  2sek):    4 |****           |
E (  6sek):    3 |***            |
V1(  2sek):    4 |****           |
V1(  1sek):    3 |***            |
V1(  1sek):    2 |**             |
V1(  6sek):    1 |*              |
E ( 14sek):    0 |               |
V1(  9sek):    1 |*              |
E (  9sek):    0 |               |
V1( 14sek):    1 |*              |
E ( 12sek):    0 |               |
V1(  5sek):    1 |*              |
E ( 11sek):    0 |               |
E (  3sek):    1 |*              |
V1( 14sek):    1 |*              |
V1(  8sek):    1 |*              |
E ( 11sek):    0 |               |
V1(  7sek):    1 |*              |
E (  6sek):    0 |               |
V1( 11sek):    1 |*              |
E ( 14sek):    0 |               |
V1( 14sek):    1 |*              |
V1(  1sek):    0 |               |
E ( 14sek):    0 |               |
V1(  8sek):    0 |               |
E (  9sek):    0 |               |
V1(  1sek):    0 |               |
E ( 10sek):    0 |               |
V1(  2sek):    0 |               |
E ( 12sek):    0 |               |
V1(  5sek):    0 |               |
E (  7sek):    0 |               |
V1(  2sek):    0 |               |
E (  3sek):    0 |               |
V1(  5sek):    0 |               |
E (  5sek):    0 |               |
V1(  1sek):    0 |               |
E (  6sek):    0 |               |
V1(  1sek):    0 |               |
E ( 10sek):    0 |               |
E (  3sek):    0 |               |
E (  5sek):    1 |*              |
V1( 12sek):    2 |**             |
E (  3sek):    1 |*              |
V1(  1sek):    2 |**             |
V1(  4sek):    1 |*              |
V1(  7sek):    0 |               |
E ( 14sek):    0 |               |
E (  5sek):    0 |               |
V1( 12sek):    1 |*              |
E ( 10sek):    0 |               |
V1(  8sek):    1 |*              |
E (  8sek):    0 |               |
V1(  4sek):    1 |*              |
E (  8sek):    0 |               |
V1(  9sek):    1 |*              |
E ( 11sek):    0 |               |
V1(  9sek):    1 |*              |
V1(  3sek):    0 |               |
E (  9sek):    0 |               |
V1(  5sek):    0 |               |
E ( 13sek):    0 |               |
E (  1sek):    0 |               |
E (  1sek):    1 |*              |
E (  4sek):    2 |**             |
V1( 10sek):    3 |***            |
E ( 13sek):    2 |**             |
E (  2sek):    3 |***            |
V1( 13sek):    3 |***            |
E (  1sek):    3 |***            |
V1( 13sek):    4 |****           |
E ( 12sek):    4 |****           |
V1(  4sek):    4 |****           |
V1(  2sek):    3 |***            |
V1(  4sek):    2 |**             |
E ( 14sek):    1 |*              |
V1(  9sek):    2 |**             |
E (  7sek):    1 |*              |
V1(  3sek):    1 |*              |
V1(  3sek):    1 |*              |
E ( 12sek):    0 |               |
V1( 10sek):    1 |*              |
V1(  3sek):    0 |               |
E ( 14sek):    0 |               |
E (  4sek):    0 |               |
E (  8sek):    1 |*              |
V1( 13sek):    2 |**             |
E (  1sek):    2 |**             |
E (  1sek):    2 |**             |
E (  1sek):    3 |***            |
E (  5sek):    4 |****           |
V1( 12sek):    5 |*****          |
E (  5sek):    5 |*****          |
V1( 11sek):    5 |*****          |
E ( 11sek):    5 |*****          |
E (  9sek):    5 |*****          |
V1( 12sek):    6 |******         |
V1(  2sek):    5 |*****          |
E ( 12sek):    4 |****           |
V1(  8sek):    5 |*****          |
E (  8sek):    4 |****           |
V1( 12sek):    5 |*****          |
E (  9sek):    4 |****           |
V1(  4sek):    5 |*****          |
V1( 11sek):    4 |****           |
E ( 14sek):    4 |****           |
V1(  2sek):    4 |****           |
V1(  3sek):    3 |***            |
E ( 10sek):    2 |**             |
V1(  6sek):    3 |***            |
V1(  6sek):    2 |**             |
V1(  4sek):    1 |*              |
E ( 11sek):    0 |               |
V1(  3sek):    1 |*              |
E ( 14sek):    0 |               |
V1( 13sek):    1 |*              |
E (  2sek):    0 |               |
V1(  9sek):    1 |*              |
E ( 11sek):    0 |               |
E (  8sek):    1 |*              |
V1( 13sek):    2 |**             |
V1(  2sek):    1 |*              |
V1(  1sek):    0 |               |
E (  8sek):    0 |               |
V1(  3sek):    0 |               |
E ( 13sek):    0 |               |
V1(  5sek):    0 |               |
E (  7sek):    0 |               |
V1(  3sek):    0 |               |
E ( 14sek):    0 |               |
V1( 10sek):    0 |               |
E ( 14sek):    0 |               |
V1(  3sek):    0 |               |
E ( 13sek):    0 |               |
V1(  2sek):    0 |               |
E ( 13sek):    0 |               |
E (  9sek):    0 |               |
V1( 14sek):    1 |*              |
E ( 11sek):    0 |               |
V1(  8sek):    1 |*              |
E (  6sek):    0 |               |
V1(  4sek):    1 |*              |
E (  5sek):    0 |               |
E (  8sek):    1 |*              |
V1( 12sek):    1 |*              |
V1(  7sek):    1 |*              |
V1(  4sek):    0 |               |
E ( 14sek):    0 |               |
E (  7sek):    0 |               |
E (  1sek):    1 |*              |
V1( 11sek):    2 |**             |
E (  3sek):    2 |**             |
V1(  8sek):    2 |**             |
E (  9sek):    1 |*              |
V1( 14sek):    2 |**             |
E ( 14sek):    1 |*              |
V1(  4sek):    2 |**             |
V1(  2sek):    1 |*              |
E ( 12sek):    0 |               |
V1(  8sek):    1 |*              |
V1(  7sek):    0 |               |
E ( 13sek):    0 |               |
V1(  1sek):    0 |               |
E (  2sek):    0 |               |
V1( 10sek):    0 |               |
E ( 13sek):    0 |               |
E (  1sek):    0 |               |
V1( 14sek):    1 |*              |
E ( 14sek):    1 |*              |
V1(  6sek):    1 |*              |
E (  7sek):    0 |               |
E (  6sek):    1 |*              |
V1(  8sek):    2 |**             |
V1(  2sek):    1 |*              |
E (  5sek):    0 |               |
V1( 11sek):    1 |*              |
E ( 11sek):    0 |               |
E (  5sek):    1 |*              |
E (  1sek):    2 |**             |
E (  3sek):    3 |***            |
E (  4sek):    4 |****           |
V1( 14sek):    4 |****           |
E (  7sek):    4 |****           |
V1(  9sek):    5 |*****          |
E (  1sek):    5 |*****          |
E (  9sek):    5 |*****          |
E (  2sek):    6 |******         |
V1( 13sek):    6 |******         |
E (  5sek):    6 |******         |
V1(  8sek):    7 |*******        |
V1(  2sek):    6 |******         |
V1(  1sek):    5 |*****          |
E ( 11sek):    4 |****           |
V1(  7sek):    5 |*****          |
E (  7sek):    4 |****           |
E (  2sek):    5 |*****          |
V1(  9sek):    6 |******         |
E (  8sek):    5 |*****          |
V1( 11sek):    6 |******         |
E (  6sek):    5 |*****          |
V1(  7sek):    6 |******         |
E (  9sek):    5 |*****          |
V1( 11sek):    6 |******         |
E (  8sek):    6 |******         |
V1(  8sek):    6 |******         |
E ( 12sek):    5 |*****          |
E (  5sek):    6 |******         |
V1( 10sek):    7 |*******        |
V1(  2sek):    6 |******         |
E (  5sek):    5 |*****          |
E (  1sek):    6 |******         |
E (  8sek):    7 |*******        |
V1( 13sek):    8 |********       |
E (  3sek):    7 |*******        |
V1(  6sek):    8 |********       |
E ( 10sek):    7 |*******        |
V1( 12sek):    8 |********       |
V1(  2sek):    7 |*******        |
E ( 10sek):    6 |******         |
V1(  5sek):    7 |*******        |
V1(  2sek):    6 |******         |
E (  6sek):    6 |******         |
V1(  2sek):    6 |******         |
E (  5sek):    5 |*****          |
V1(  8sek):    6 |******         |
V1(  2sek):    5 |*****          |
E (  9sek):    4 |****           |
V1(  9sek):    5 |*****          |
E (  8sek):    4 |****           |
E (  9sek):    5 |*****          |
V1( 11sek):    6 |******         |
V1(  5sek):    5 |*****          |
E (  6sek):    5 |*****          |
V1(  9sek):    5 |*****          |
E ( 12sek):    4 |****           |
V1(  5sek):    5 |*****          |
E (  2sek):    4 |****           |
V1(  6sek):    5 |*****          |
V1(  6sek):    4 |****           |
V1(  2sek):    3 |***            |
E ( 14sek):    2 |**             |
V1(  7sek):    3 |***            |
E (  8sek):    2 |**             |
E (  5sek):    3 |***            |
V1( 12sek):    4 |****           |
E (  9sek):    3 |***            |
E (  3sek):    4 |****           |
V1(  7sek):    4 |****           |
E (  1sek):    4 |****           |
E (  2sek):    5 |*****          |
V1( 10sek):    6 |******         |
E ( 10sek):    5 |*****          |
V1(  7sek):    6 |******         |
E (  8sek):    5 |*****          |
V1( 11sek):    6 |******         |
V1(  2sek):    5 |*****          |
E ( 13sek):    4 |****           |
V1(  7sek):    5 |*****          |
E (  4sek):    5 |*****          |
V1(  8sek):    5 |*****          |
E ( 10sek):    4 |****           |
V1( 13sek):    5 |*****          |
E ( 14sek):    4 |****           |
E (  2sek):    5 |*****          |
V1( 12sek):    6 |******         |
V1(  1sek):    5 |*****          |
E (  7sek):    4 |****           |
V1(  3sek):    5 |*****          |
V1(  3sek):    4 |****           |
E (  5sek):    3 |***            |
V1(  2sek):    4 |****           |
V1(  2sek):    3 |***            |
E ( 11sek):    2 |**             |
E (  6sek):    3 |***            |
V1( 13sek):    3 |***            |
E (  4sek):    3 |***            |
E (  4sek):    4 |****           |
E (  4sek):    5 |*****          |
E (  1sek):    6 |******         |
V1( 14sek):    7 |*******        |
E (  9sek):    6 |******         |
V1(  8sek):    6 |******         |
V1(  5sek):    6 |******         |
V1(  3sek):    5 |*****          |
E ( 10sek):    4 |****           |
V1(  5sek):    5 |*****          |
E (  7sek):    4 |****           |
V1(  8sek):    5 |*****          |
V1(  3sek):    4 |****           |
E ( 13sek):    3 |***            |
V1( 10sek):    4 |****           |
E ( 11sek):    3 |***            |
V1( 13sek):    4 |****           |
E (  5sek):    3 |***            |
V1(  5sek):    4 |****           |
E ( 14sek):    3 |***            |
V1(  9sek):    3 |***            |
E (  1sek):    3 |***            |
V1(  6sek):    4 |****           |
E ( 13sek):    3 |***            |
V1( 14sek):    4 |****           |
E (  8sek):    3 |***            |
V1(  7sek):    4 |****           |
V1(  2sek):    3 |***            |
E ( 12sek):    2 |**             |
V1( 10sek):    3 |***            |
V1(  1sek):    2 |**             |
V1(  5sek):    1 |*              |
E ( 12sek):    0 |               |
V1(  7sek):    1 |*              |
E (  4sek):    1 |*              |
E ( 11sek):    1 |*              |
V1( 12sek):    1 |*              |
V1(  6sek):    1 |*              |
E (  8sek):    0 |               |
E (  3sek):    1 |*              |
E (  3sek):    2 |**             |
V1( 11sek):    3 |***            |
E (  7sek):    2 |**             |
E (  3sek):    3 |***            |
E (  1sek):    4 |****           |
E (  1sek):    5 |*****          |
V1(  9sek):    6 |******         |
V1(  8sek):    5 |*****          |
E ( 14sek):    4 |****           |
V1( 10sek):    5 |*****          |
E (  8sek):    4 |****           |
E (  4sek):    5 |*****          |
V1( 14sek):    6 |******         |
V1(  2sek):    5 |*****          |
E (  8sek):    4 |****           |
E (  4sek):    5 |*****          |
E (  1sek):    6 |******         |
V1(  8sek):    7 |*******        |
V1(  1sek):    6 |******         |
E ( 13sek):    5 |*****          |
V1( 11sek):    6 |******         |
E (  2sek):    5 |*****          |
V1(  5sek):    6 |******         |
E ( 11sek):    5 |*****          |
V1(  8sek):    5 |*****          |
E (  6sek):    5 |*****          |
V1(  8sek):    6 |******         |
E (  9sek):    5 |*****          |
E (  4sek):    6 |******         |
E (  1sek):    7 |*******        |
V1( 12sek):    7 |*******        |
E ( 14sek):    7 |*******        |
V1( 14sek):    7 |*******        |
E (  1sek):    7 |*******        |
E (  7sek):    8 |********       |
V1( 10sek):    9 |*********      |
V1(  6sek):    8 |********       |
E ( 13sek):    7 |*******        |
V1(  9sek):    8 |********       |
E ( 10sek):    7 |*******        |
V1( 13sek):    8 |********       |
E ( 13sek):    7 |*******        |
V1(  9sek):    8 |********       |
E (  6sek):    7 |*******        |
E (  2sek):    8 |********       |
E (  7sek):    9 |*********      |
V1( 14sek):   10 |**********     |
V1(  5sek):    9 |*********      |
V1(  2sek):    8 |********       |
E (  9sek):    8 |********       |
V1(  2sek):    8 |********       |
E (  6sek):    7 |*******        |
E (  4sek):    8 |********       |
E (  2sek):    9 |*********      |
V1( 12sek):   10 |**********     |
E (  6sek):    9 |*********      |
V1(  8sek):   10 |**********     |
E ( 14sek):    9 |*********      |
V1( 13sek):   10 |**********     |
V1(  1sek):    9 |*********      |
E (  4sek):    8 |********       |
E (  5sek):    9 |*********      |
E (  6sek):   10 |**********     |
V1( 14sek):   11 |***********    |
E ( 10sek):   10 |**********     |
V1(  9sek):   10 |**********     |
E (  2sek):   10 |**********     |
V1(  9sek):   11 |***********    |
E ( 10sek):   10 |**********     |
V1(  8sek):   11 |***********    |
E (  6sek):   10 |**********     |
V1(  3sek):   11 |***********    |
E (  7sek):   10 |**********     |
V1(  6sek):   11 |***********    |
E ( 10sek):   10 |**********     |
E (  1sek):   11 |***********    |
V1(  9sek):   12 |************   |
E (  4sek):   11 |***********    |
V1(  6sek):   12 |************   |
E (  8sek):   11 |***********    |
V1(  6sek):   12 |************   |
E (  4sek):   11 |***********    |
V1( 12sek):   12 |************   |
E ( 10sek):   11 |***********    |
E (  1sek):   12 |************   |
E (  4sek):   13 |*************  |
V1(  6sek):   14 |************** |
E (  6sek):   13 |*************  |
V1(  8sek):   14 |************** |
E (  9sek):   13 |*************  |
V1(  9sek):   14 |************** |
E (  6sek):   13 |*************  |
V1(  5sek):   14 |************** |
E (  1sek):   13 |*************  |
V1( 10sek):   14 |************** |
E ( 14sek):   13 |*************  |
V1(  7sek):   14 |************** |
E (  7sek):   13 |*************  |
V1( 13sek):   14 |************** |
V1(  3sek):   13 |*************  |
V1(  3sek):   12 |************   |
E ( 14sek):   12 |************   |
V1(  7sek):   12 |************   |
E ( 10sek):   11 |***********    |
V1(  8sek):   12 |************   |
E ( 14sek):   11 |***********    |
V1(  8sek):   11 |***********    |
E (  2sek):   11 |***********    |
V1( 10sek):   12 |************   |
E (  7sek):   12 |************   |
E (  3sek):   12 |************   |
E (  6sek):   13 |*************  |
V1(  9sek):   13 |*************  |
E (  3sek):   13 |*************  |
E (  3sek):   14 |************** |
V1( 14sek):   15 |***************|
E ( 10sek):   14 |************** |
V1(  5sek):   15 |***************|
V1(  4sek):   14 |************** |
V1(  5sek):   13 |*************  |
E ( 14sek):   12 |************   |
E (  7sek):   13 |*************  |
V1( 13sek):   14 |************** |
E (  8sek):   13 |*************  |
E (  1sek):   14 |************** |
V1( 12sek):   15 |***************|
E ( 10sek):   14 |************** |
E (  1sek):   15 |***************|
V1(  8sek):   15 |***************|
V1(  2sek):   15 |***************|
E (  4sek):   14 |************** |
V1(  3sek):   15 |***************|
E (  8sek):   14 |************** |
V1(  9sek):   15 |***************|
V1(  6sek):   14 |************** |
E ( 12sek):   13 |*************  |
E (  6sek):   14 |************** |
V1(  9sek):   15 |***************|
V1(  2sek):   14 |************** |
E (  4sek):   13 |*************  |
V1(  9sek):   14 |************** |
E ( 12sek):   13 |*************  |
V1(  3sek):   13 |*************  |
V1(  2sek):   13 |*************  |
V1(  5sek):   12 |************   |
E (  8sek):   11 |***********    |
V1( 10sek):   12 |************   |
E (  9sek):   12 |************   |
V1(  2sek):   12 |************   |
E (  6sek):   11 |***********    |
V1(  6sek):   12 |************   |
E (  7sek):   11 |***********    |
V1( 11sek):   12 |************   |
V1(  2sek):   11 |***********    |
E ( 13sek):   10 |**********     |
V1(  8sek):   11 |***********    |
E (  5sek):   10 |**********     |
E (  5sek):   11 |***********    |
V1(  7sek):   12 |************   |
V1(  1sek):   11 |***********    |
V1(  2sek):   10 |**********     |
E ( 14sek):    9 |*********      |
E (  2sek):   10 |**********     |
V1( 12sek):   11 |***********    |
V1(  2sek):   10 |**********     |
E (  7sek):    9 |*********      |
V1( 14sek):   10 |**********     |
E ( 11sek):    9 |*********      |
V1( 11sek):   10 |**********     |
V1(  1sek):    9 |*********      |
E ( 12sek):    8 |********       |
V1(  6sek):    9 |*********      |
E (  5sek):    8 |********       |
V1(  1sek):    9 |*********      |
E ( 12sek):    8 |********       |
V1( 14sek):    9 |*********      |
E ( 13sek):    8 |********       |
V1( 12sek):    9 |*********      |
V1(  6sek):    8 |********       |
E (  9sek):    8 |********       |
V1(  1sek):    8 |********       |
V1(  2sek):    7 |*******        |
V1(  2sek):    6 |******         |
E ( 13sek):    5 |*****          |
E (  3sek):    6 |******         |
V1( 13sek):    7 |*******        |
E ( 10sek):    6 |******         |
V1( 14sek):    7 |*******        |
E ( 12sek):    6 |******         |
V1(  9sek):    7 |*******        |
V1(  5sek):    6 |******         |
E ( 10sek):    5 |*****          |
V1( 12sek):    6 |******         |
E ( 11sek):    5 |*****          |
E (  2sek):    6 |******         |
V1(  3sek):    7 |*******        |
